company_name,website,primary_category,subcategory,hq_country
Mia-Platform,https://mia-platform.eu,DevOps,Internal Developer Platform,Italy
Middleware.io,https://middleware.io,DevOps,Full-Stack Observability,USA
Mimir (Grafana),https://grafana.com/oss/mimir,DevOps,Long-Term Metrics Storage,USA
Morpheus Data,https://morpheusdata.com,Cloud Infrastructure,Cloud Management Platform,USA
MOSN,https://mosn.io,Cloud Infrastructure,Cloud-Native Proxy,China
Nakivo,https://www.nakivo.com,Cloud Infrastructure,Backup & Disaster Recovery,USA
Naver Cloud,https://www.ncloud.com,Cloud Infrastructure,Cloud Provider,South Korea
Nebula (Defined Networking),https://github.com/slackhq/nebula,Cloud Infrastructure,Overlay Networking,USA
Netmaker,https://www.netmaker.io,Cloud Infrastructure,WireGuard Network Management,USA
Nighthawk,https://github.com/envoyproxy/nighthawk,DevOps,Load Testing,USA
Nitric.io,https://nitric.io,Cloud Infrastructure,Cloud Application Framework,Australia
Nullstone,https://nullstone.io,DevOps,Cloud Deployment Platform,USA
NumSpot,https://numspot.com,Cloud Infrastructure,Sovereign Cloud Provider,France
Open Policy Agent (OPA),https://www.openpolicyagent.org,Security,Policy Engine,USA
Oracle Cloud Infrastructure,https://www.oracle.com/cloud,Cloud Infrastructure,Cloud Provider,USA
Oxla,https://www.oxla.com,Data & Analytics,Analytical Database,Poland
Piku,https://github.com/piku/piku,DevOps,Self-Hosted PaaS,Portugal
Plane.so,https://plane.so,DevOps,Project Management,India
Ploi,https://ploi.io,DevOps,Server Management,Netherlands
Prisma Cloud (Palo Alto),https://www.paloaltonetworks.com/prisma/cloud,Security,CNAPP / Cloud Security,USA
Projen,https://projen.io,DevOps,Project Configuration,USA
Prometheus Operator,https://github.com/prometheus-operator/prometheus-operator,DevOps,Kubernetes Monitoring,USA
Prowler,https://prowler.com,Security,Cloud Security Posture Management,Spain
PyInfra,https://pyinfra.com,DevOps,Infrastructure Automation,UK
Resourcely,https://www.resourcely.io,DevOps,Infrastructure Guardrails,USA
Rubrik,https://www.rubrik.com,Cloud Infrastructure,Data Security & Backup,USA
Runpod,https://www.runpod.io,Cloud Infrastructure,GPU Cloud / Serverless AI,USA
AWS SAM CLI,https://aws.amazon.com/serverless/sam,DevOps,Serverless Framework,USA
Scaleway,https://www.scaleway.com,Cloud Infrastructure,Cloud Provider,France
Section.io,https://www.section.io,Cloud Infrastructure,Edge Cloud Platform,Australia
Seldon,https://www.seldon.io,Cloud Infrastructure,ML Model Serving,UK
SentinelOne,https://www.sentinelone.com,Security,Cloud Security / EDR,USA
Serverpilot,https://serverpilot.io,DevOps,Server Management,USA
Skupper,https://skupper.io,Cloud Infrastructure,Multi-Cluster Networking,USA
Apache SkyWalking,https://skywalking.apache.org,DevOps,Application Performance Monitoring,China
Snyk Container,https://snyk.io/product/container-vulnerability-management,Security,Container Security,USA
Spotinst (NetApp Spot),https://spot.io,Cloud Infrastructure,Cloud Cost Optimization,USA
StarBurst,https://www.starburst.io,Data & Analytics,Distributed Query Engine,USA
Steampipe,https://steampipe.io,Cloud Infrastructure,Cloud Governance & Query,USA
Submariner,https://submariner.io,Cloud Infrastructure,Multi-Cluster Networking,USA
TerraGrunt,https://terragrunt.gruntwork.io,DevOps,Infrastructure as Code,USA
Terrascan,https://runterrascan.io,Security,IaC Security Scanning,USA
TetraGon (Cilium Tetragon),https://tetragon.io,Security,Runtime Security (eBPF),USA
TFSec,https://aquasecurity.github.io/tfsec,Security,IaC Security Scanning,UK
Timoni,https://timoni.sh,DevOps,Kubernetes Package Manager,Romania
Titus (Netflix),https://netflix.github.io/titus,Cloud Infrastructure,Container Orchestration,USA
IBM Turbonomic,https://www.ibm.com/products/turbonomic,Cloud Infrastructure,Cloud Resource Optimization,USA
UpCloud,https://upcloud.com,Cloud Infrastructure,Cloud Provider,Finland
Veeam,https://www.veeam.com,Cloud Infrastructure,Backup & Disaster Recovery,USA
WasmTime,https://wasmtime.dev,Cloud Infrastructure,WebAssembly Runtime,USA
Weave Net,https://www.weave.works/docs/net,Cloud Infrastructure,Container Networking,UK
Woodpecker CI,https://woodpecker-ci.org,DevOps,CI/CD,Germany
WunderGraph,https://wundergraph.com,DevOps,API Gateway / Federation,Germany
YouTrack (JetBrains),https://www.jetbrains.com/youtrack,DevOps,Project Management,Czech Republic
Zappa,https://github.com/zappa/Zappa,Cloud Infrastructure,Serverless Framework,USA
ZeroTier,https://www.zerotier.com,Cloud Infrastructure,Virtual Networking,USA
Zesty,https://zesty.io,Cloud Infrastructure,Cloud Cost Optimization,Israel
Aikido Security,https://aikido.dev,Security,DevSecOps Platform,Belgium
Apache Kafka (Conduktor),https://conduktor.io,Data & Analytics,Kafka Platform,UK
BOSH (CF Foundation),https://bosh.io,DevOps,Deployment Automation,USA
Calico VPP,https://projectcalico.docs.tigera.io/calico/latest/getting-started/kubernetes/vpp,Cloud Infrastructure,Container Networking,USA
ChaosNative (Litmus),https://chaosnative.com,DevOps,Chaos Engineering,India
CloudCustodian (Capital One),https://cloudcustodian.io,Cloud Infrastructure,Cloud Governance,USA
coroot.dev,https://coroot.com,DevOps,Observability & APM,USA
Driftctl (Snyk),https://driftctl.com,DevOps,IaC Drift Detection,France
Easypanel.io,https://easypanel.io,DevOps,Application Deployment,Romania
Fluxcd.io,https://fluxcd.io,DevOps,GitOps Continuous Delivery,CNCF
Grafana Mimir,https://grafana.com/oss/mimir,DevOps,Metrics Backend,Sweden
Helm Dashboard (Komodor),https://komodor.com,DevOps,Kubernetes Visibility,Israel
Holori Cloud,https://holori.com,Cloud Infrastructure,Cloud Cost Management,France
k0rdent Platform,https://k0rdent.io,Cloud Infrastructure,Kubernetes Fleet Management,USA
Kluctl GitOps,https://kluctl.io,DevOps,Kubernetes Deployment Tool,Germany
Latitude Cloud,https://www.latitude.sh,Cloud Infrastructure,Bare Metal Cloud,Brazil
Lenses Data Streaming,https://lenses.io,Data & Analytics,Data Streaming Management,UK
Mia-Platform Hub,https://mia-platform.eu,DevOps,Platform Engineering,Italy
Middleware Observability,https://middleware.io,DevOps,Full-Stack Observability,USA
MOSN Cloud Proxy,https://mosn.io,Cloud Infrastructure,Service Mesh Proxy,China
NumSpot Sovereign,https://numspot.com,Cloud Infrastructure,European Sovereign Cloud,France
Open Policy Agent,https://www.openpolicyagent.org,Security,Policy as Code,USA
Oxla Database,https://www.oxla.com,Data & Analytics,Analytical Database,Poland
Ploi Server,https://ploi.io,DevOps,Cloud Server Management,Netherlands
Prowler Security,https://prowler.com,Security,CSPM Open Source,Spain
Runpod GPU,https://www.runpod.io,Cloud Infrastructure,GPU Cloud Computing,USA
Scaleway Cloud,https://www.scaleway.com,Cloud Infrastructure,European Cloud Provider,France
Seldon MLServer,https://www.seldon.io,Cloud Infrastructure,ML Deployment,UK
SentinelOne Singularity,https://www.sentinelone.com,Security,CNAPP,USA
Starburst Galaxy,https://www.starburst.io,Data & Analytics,Data Lakehouse Query Engine,USA
Submariner Network,https://submariner.io,Cloud Infrastructure,Cross-Cluster Networking,USA
Tetragon eBPF,https://tetragon.io,Security,Runtime Security,CNCF
TFSec Scanner,https://aquasecurity.github.io/tfsec,Security,Terraform Security,UK
Turbonomic IBM,https://www.ibm.com/products/turbonomic,Cloud Infrastructure,AIOps Resource Management,USA
Veeam Backup,https://www.veeam.com,Cloud Infrastructure,Data Protection,USA
Woodpecker CI/CD,https://woodpecker-ci.org,DevOps,Open Source CI/CD,Germany
ZeroTier VPN,https://www.zerotier.com,Cloud Infrastructure,Zero-Config VPN,USA
Zesty Cloud,https://zesty.io,Cloud Infrastructure,Kubernetes Cost Optimization,Israel
CloudAware Platform,https://cloudaware.com,Cloud Infrastructure,Cloud Management,USA
Cohesity DataProtect,https://www.cohesity.com,Cloud Infrastructure,Data Management & Backup,USA
CrowdStrike Cloud Security,https://www.crowdstrike.com/platform/cloud-security,Security,CNAPP / CWPP,USA
Druva Cloud Platform,https://www.druva.com,Cloud Infrastructure,SaaS Data Protection,USA
Fermyon Technologies,https://www.fermyon.com,Cloud Infrastructure,WebAssembly Cloud,USA
Firebolt Analytics,https://www.firebolt.io,Data & Analytics,Cloud Data Warehouse,Israel
Lightning AI Studio,https://lightning.ai,Cloud Infrastructure,AI Development Platform,USA
Morpheus Cloud,https://morpheusdata.com,Cloud Infrastructure,Hybrid Cloud Management,USA
Rubrik Cloud Data Management,https://www.rubrik.com,Cloud Infrastructure,Data Security & Backup,USA
Snyk Container Security,https://snyk.io/product/container-vulnerability-management,Security,Container Vulnerability Management,USA
Cloudflare Tunnel,https://developers.cloudflare.com/cloudflare-one/connections/connect-networks,Cloud Infrastructure,Secure Tunneling,USA
Cloudflare Zero Trust,https://developers.cloudflare.com/cloudflare-one,Security,Zero Trust Network Access,USA
Zarf,https://zarf.dev,DevOps,Airgap Kubernetes Packaging,USA
OpenKruise,https://openkruise.io,Cloud Infrastructure,Kubernetes Workload Management,China
KubeConform,https://github.com/yannh/kubeconform,DevOps,Kubernetes Manifest Validation,France
Conftest,https://www.conftest.dev,Security,Policy Testing for Configs,USA
Percona Operator,https://www.percona.com/software/percona-kubernetes-operators,Cloud Infrastructure,Database Operator for Kubernetes,USA
Patroni,https://github.com/patroni/patroni,Cloud Infrastructure,PostgreSQL HA,USA
Ory Kratos,https://www.ory.sh/kratos,Security,Identity Management,Germany
Ory Cloud,https://www.ory.sh,Security,Identity & Access Management,Germany
Socket Security,https://socket.dev,Security,Software Supply Chain Security,USA
Wolfi OS,https://wolfi.dev,Security,Secure Container Base OS,USA
Cloud Native Buildpacks,https://buildpacks.io,DevOps,Container Build Tool,CNCF
Ko (Google),https://ko.build,DevOps,Go Container Build Tool,USA
Jib (Google),https://github.com/GoogleContainerTools/jib,DevOps,Java Container Build Tool,USA
Dagger,https://dagger.io,DevOps,Programmable CI/CD Engine,USA
Earthly,https://earthly.dev,DevOps,Build Automation,USA
Depot,https://depot.dev,DevOps,Accelerated Docker Builds,USA
Namespace Cloud,https://namespace.so,DevOps,Developer Cloud (CI & Builds),USA
Buddy CI,https://buddy.works,DevOps,CI/CD Automation,Poland
Liqo,https://liqo.io,Cloud Infrastructure,Multi-Cluster Kubernetes Federation,Italy
Karmada,https://karmada.io,Cloud Infrastructure,Multi-Cloud Kubernetes Orchestration,China
Clusterpedia,https://clusterpedia.io,Cloud Infrastructure,Multi-Cluster Resource Search,China
Capsule,https://capsule.clastix.io,Cloud Infrastructure,Kubernetes Multi-Tenancy,Italy
Komodor,https://komodor.com,DevOps,Kubernetes Troubleshooting,Israel
Datree,https://www.datree.io,DevOps,Kubernetes Policy Enforcement,Israel
