company_name,website,primary_category,subcategory,hq_country,status
Zenity,zenity.io,Security,Low-Code Security,Israel,active
Noma Security,noma.security,Security,AI Security,Israel,active
Prompt Security,prompt.security,Security,AI Security,Israel,active
Pillar Security,pillar.security,Security,AI Security,Israel,active
Koi Security,koisecurity.com,Security,Software Supply Chain,Israel,active
Zesty,zesty.io,Cloud,Cloud Cost Optimization,Israel,active
Rezonate,rezonate.io,Security,Identity Security,Israel,active
Dazz,dazz.io,Security,Security Remediation,Israel,active
Port.io,getport.io,DevOps,Internal Developer Portal,Israel,active
Starknet,starknet.io,Web3,Layer 2 Blockchain,Israel,active
Decart,decart.ai,AI/ML,Real-Time AI Video,Israel,active
AI21 Labs,ai21.com,AI/ML,LLM Platform,Israel,active
Arnica,arnica.io,Security,ASPM Platform,Israel,active
Lunar.dev,lunar.dev,Developer Tools,API Governance,Israel,active
Scribe Security,scribesecurity.com,Security,SBOM Platform,Israel,active
Mend.io,mend.io,Security,AppSec Testing,Israel,active
Alchemy,alchemy.com,Web3,Blockchain Infrastructure,USA,active
Thirdweb,thirdweb.com,Web3,Web3 Development Platform,USA,active
Infura,infura.io,Web3,Blockchain Node Provider,USA,active
Ankr,ankr.com,Web3,Blockchain Infrastructure,USA,active
Chainstack,chainstack.com,Web3,Blockchain Node Provider,Singapore,active
GetBlock,getblock.io,Web3,Blockchain Node Provider,USA,active
Pocket Network,pokt.network,Web3,Decentralized RPC,USA,active
The Graph,thegraph.com,Web3,Blockchain Data Protocol,USA,active
Hardhat,hardhat.org,Web3,Smart Contract Development,USA,active
Polygon,polygon.technology,Web3,Layer 2 Blockchain,India,active
Arbitrum,arbitrum.io,Web3,Layer 2 Blockchain,USA,active
Optimism,optimism.io,Web3,Layer 2 Blockchain,USA,active
Solana,solana.com,Web3,Blockchain Platform,USA,active
Kurtosis,kurtosis.com,Web3,Distributed System Testing,USA,active
Nansen,nansen.ai,Web3,Blockchain Analytics,Singapore,active
Flipside Crypto,flipsidecrypto.com,Web3,Blockchain Analytics,USA,active
Privy,privy.io,Web3,Web3 Authentication,USA,active
Dynamic (Web3),dynamic.xyz,Web3,Web3 Authentication,USA,active
ZeroDev,zerodev.app,Web3,Smart Account SDK,USA,active
Particle Network,particle.network,Web3,Web3 Authentication,Hong Kong,active
Cobo,cobo.global,Web3,Crypto Custody,Singapore,active
Sequence,sequence.build,Web3,Web3 Game Infrastructure,Canada,active
Base (Coinbase),base.org,Web3,Layer 2 Blockchain,USA,active
Avalanche,avax.network,Web3,Blockchain Platform,USA,active
NEAR Protocol,near.org,Web3,Blockchain Platform,USA,active
Aptos,aptoslabs.com,Web3,Layer 1 Blockchain,USA,active
Fuel Network,fuel.network,Web3,Modular Blockchain,USA,active
Celestia,celestia.org,Web3,Data Availability Layer,USA,active
EigenLayer,eigenlayer.xyz,Web3,Restaking Protocol,USA,active
WalletConnect,walletconnect.com,Web3,Wallet Connect Protocol,USA,active
Scroll L2,scroll.io,Web3,ZK Rollup Platform,China,active
Morph L2,morphl2.io,Web3,Layer 2 Blockchain,China,active
Unity,unity.com,Game Development,Game Engine,USA,active
Unreal Engine,unrealengine.com,Game Development,Game Engine,USA,active
Godot Engine,godotengine.org,Game Development,Open-Source Game Engine,Netherlands,active
GameAnalytics,gameanalytics.com,Game Development,Game Analytics,Denmark,active
devtodev,devtodev.com,Game Development,Game Analytics,USA,active
Azure PlayFab,playfab.com,Game Development,Game Backend,USA,active
Unity Gaming Services,unity.com/solutions/gaming-services,Game Development,Game Backend,USA,active
Heroic Labs (Game),heroiclabs.com,Game Development,Game Backend,UK,active
Nakama Server,heroiclabs.com/nakama,Game Development,Multiplayer Server,UK,active
Beamable,beamable.com,Game Development,LiveOps Platform,USA,active
Pragma,pragma.gg,Game Development,Game Backend Platform,USA,active
Agones,agones.dev,Game Development,Game Server Hosting,USA,active
Xsolla,xsolla.com,Game Development,Game Commerce,USA,active
GameSparks,gamesparks.com,Game Development,Game Backend,Ireland,acquired
AppWarp,shephertz.com,Game Development,Multiplayer SDK,India,active
Lootlocker (game),lootlocker.com,Game Development,Game Backend,Norway,active
Photon Engine (game),photonengine.com,Game Development,Multiplayer Infrastructure,Germany,active
Metaplay (game),metaplay.io,Game Development,Game Backend,Finland,active
Openfort (game),openfort.io,Web3,Gaming Wallet Infrastructure,Spain,active
ThingsBoard,thingsboard.io,IoT,IoT Platform,USA,active
Particle (IoT),particle.io,IoT,IoT Platform,USA,active
Balena (IoT),balena.io,IoT,IoT Fleet Management,UK,active
Blynk,blynk.io,IoT,IoT Platform,USA,active
Edge Impulse,edgeimpulse.com,IoT,Edge AI Platform,USA,acquired
SocketXP,socketxp.com,IoT,IoT Device Management,USA,active
Toit,toit.io,IoT,IoT Platform,Denmark,active
Grandeur,grandeur.dev,IoT,IoT Platform,Pakistan,active
Ubidots,ubidots.com,IoT,IoT Platform,USA,active
InfluxData,influxdata.com,IoT,Time Series Database,USA,active
Losant,losant.com,IoT,IoT Platform,USA,active
PlatformIO,platformio.org,IoT,IoT Development Platform,Ukraine,active
Zephyr RTOS,zephyrproject.org,IoT,IoT RTOS,USA,active
Fogwing IIoT,fogwing.io,IoT,Industrial IoT,India,active
Macrometa,macrometa.com,Edge Computing,Edge Database,USA,active
Gcore CDN,gcore.com,Edge Computing,Edge CDN,Luxembourg,active
Section.io,section.io,Edge Computing,Edge Compute,Australia,active
SUSE Edge,suse.com,Edge Computing,Edge Kubernetes,Germany,active
DeepSeek,deepseek.com,AI/ML,Code LLM,China,active
Zhipu AI,zhipuai.cn,AI/ML,LLM Platform,China,active
Moonshot AI,moonshot.cn,AI/ML,LLM Platform,China,active
Baidu Comate,comate.baidu.com,AI/ML,AI Code Assistant,China,active
Manus AI,manus.im,AI/ML,AI Agent Platform,China,active
Apifox,apifox.com,Developer Tools,API Development Platform,China,active
Tencent Cloud,tencentcloud.com,Cloud,Cloud Platform,China,active
Alibaba Cloud,alibabacloud.com,Cloud,Cloud Platform,China,active
Huawei Cloud,huaweicloud.com,Cloud,Cloud Platform,China,active
Dify AI,dify.ai,AI/ML,LLM Application Platform,China,active
BytePlus,byteplus.com,Cloud,Cloud Developer Platform,China,active
Pipefy,pipefy.com,Workflow Automation,Process Management,Brazil,active
Omie,omie.com.br,ERP,Business Management,Brazil,active
Woovi,woovi.com,FinTech,PIX Payment API,Brazil,active
Cora,cora.com.br,FinTech,Banking API,Brazil,active
CloudWalk,cloudwalk.io,FinTech,Payment Platform,Brazil,active
Webcrumbs,webcrumbs.org,Developer Tools,AI Component Builder,Brazil,active
Concourse CI,concourse-ci.org,CI/CD,Pipeline Automation,USA,active
Nx Build System,nx.dev,Developer Tools,Monorepo Build System,USA,active
Moon,moonrepo.dev,Developer Tools,Monorepo Management,USA,active
All Hands AI,all-hands.dev,AI/ML,AI Coding Agent,USA,active
Empromptu,empromptu.ai,AI/ML,Enterprise AI App Builder,USA,active
BrowserBook,browserbook.io,Testing & QA,Browser Automation IDE,USA,active
Bolt.new,bolt.new,Low-Code/No-Code,AI App Builder,USA,active
Tempo Labs,tempolabs.ai,Low-Code/No-Code,AI UI Builder,USA,active
Srcbook,srcbook.com,Developer Tools,AI TypeScript Builder,USA,active
VibeFlow,vibeflow.dev,Low-Code/No-Code,AI Full-Stack Builder,USA,active
Trunk.io,trunk.io,Developer Tools,Code Quality Platform,USA,active
Black Duck,blackduck.com,Security,SCA Platform,USA,active
Levo.ai,levo.ai,Security,API Security Testing,USA,active
Vectara,vectara.com,Search,Neural Search Platform,USA,active
Modern Treasury,moderntreasury.com,FinTech,Payment Ops Platform,USA,active
Column,column.com,FinTech,Banking Infrastructure,USA,active
Treasury Prime,treasuryprime.com,FinTech,BaaS Platform,USA,active
Synctera,synctera.com,FinTech,BaaS Platform,USA,active
Moov,moov.io,FinTech,Payment Infrastructure,USA,active
Appian,appian.com,Low-Code/No-Code,Process Automation,USA,active
Reflect,reflect.run,Testing & QA,No-Code Testing,USA,active
Currents,currents.dev,Testing & QA,Test Orchestration,USA,active
Middleware.io,middleware.io,Observability,Full-Stack Observability,USA,active
Astral Python Tools,astral.sh,Developer Tools,Python Tooling,USA,acquired
Bun Runtime,bun.sh,Developer Tools,JavaScript Runtime,USA,acquired
Log10.io,log10.io,AI/ML,LLM Monitoring,USA,active
Braintrust Data,braintrustdata.com,AI/ML,AI Eval Platform,USA,active
LangSmith,smith.langchain.com,AI/ML,LLM Ops Platform,USA,active
Runpod,runpod.io,AI/ML,GPU Cloud,USA,active
Perplexity AI,perplexity.ai,AI/ML,AI Search Engine,USA,active
Neon DB,neon.tech,Database,Serverless Postgres,USA,active
Xata DB,xata.io,Database,Serverless Database,UK,active
Qdrant DB,qdrant.tech,Database,Vector Database,Germany,active
Chroma DB,trychroma.com,Database,Vector Database,USA,active
Starburst,starburst.io,Data,Distributed SQL Engine,USA,active
Rill Data,rilldata.com,Data,Operational Analytics,USA,active
Nile Database,thenile.dev,Database,Multi-Tenant Postgres,USA,active
Integrate.io,integrate.io,Data,ETL Platform,USA,active
Hex Tech,hex.tech,Data,Data Analytics Platform,USA,active
Evidence Dev,evidence.dev,Data,Code-First BI,Canada,active
Rivery ETL,rivery.io,Data,ETL Platform,Israel,active
SST Framework,sst.dev,Cloud,Serverless Framework,USA,active
Cribl,cribl.io,Observability,Data Streaming Platform,USA,active
Atscale,atscale.com,Data,Semantic Layer,USA,active
DeltaStream,deltastream.io,Data,Stream Processing,USA,active
Jellyfish Eng,jellyfish.co,Developer Tools,Engineering Management,USA,active
Komiser,komiser.io,FinOps,Cloud Cost Visibility,United Kingdom,active
Holori,holori.com,FinOps,Cloud Cost Management,France,active
Amnic,amnic.com,FinOps,Cloud Cost Optimization,India,active
Cloudaware,cloudaware.com,FinOps,Cloud Management Platform,United States,active
CloudEagle,cloudeagle.ai,FinOps,SaaS Management,United States,active
Emma Cloud,emma.ms,FinOps,Multi-Cloud Management,Netherlands,active
Costimizer,costimizer.io,FinOps,Cloud Cost Optimization,United States,active
GetDX,getdx.com,Engineering Metrics,Developer Experience,United States,active
Allstacks,allstacks.com,Engineering Metrics,Engineering Intelligence,United States,active
Oobeya,oobeya.com,Engineering Metrics,Engineering Analytics,Turkey,active
Axify,axify.io,Engineering Metrics,Developer Metrics,Canada,active
Exceeds AI,exceeds.ai,Engineering Metrics,AI Engineering Analytics,United States,active
Code Pulse HQ,codepulse.dev,Engineering Metrics,Developer Productivity,United States,active
Sifflet,siffletdata.com,Data Observability,Data Quality,France,active
SYNQ,synq.io,Data Observability,Data Pipeline Observability,United States,active
Sparvi,sparvi.io,Data Observability,Data Quality,United States,active
DataKitchen,datakitchen.io,Data Observability,DataOps,United States,active
Shakudo,shakudo.io,Data Observability,Data Platform,Canada,active
Castordoc,castordoc.com,Data Observability,Data Catalog,United States,active
Dremio,dremio.com,Data Lakehouse,Data Lake Query Engine,United States,active
Onehouse,onehouse.ai,Data Lakehouse,Managed Data Lakehouse,United States,active
Snowplow,snowplow.io,CDP,Behavioral Data Platform,United Kingdom,active
Lytics,lytics.com,CDP,Customer Data Platform,United States,active
ActionIQ,actioniq.com,CDP,Customer Data Platform,United States,active
Amperity,amperity.com,CDP,Customer Data Platform,United States,active
Simon Data,simondata.com,CDP,Customer Data Platform,United States,active
Dinmo,dinmo.com,CDP,Reverse ETL,France,active
Upwind Security,upwind.io,Security,Cloud Security,United States,active
Oligo Security,oligo.security,Security,Runtime Application Security,Israel,active
KubeArmor,kubearmor.io,Security,Container Security,Global,active
NeuVector,neuvector.com,Security,Container Security,United States,active
ARMO Security,armosec.io,Security,Kubernetes Security,Israel,active
Synack,synack.com,Security,Crowdsourced Penetration Testing,United States,active
Bugcrowd,bugcrowd.com,Security,Bug Bounty Platform,United States,active
Intigriti,intigriti.com,Security,Bug Bounty Platform,Belgium,active
YesWeHack,yeswehack.com,Security,Bug Bounty Platform,France,active
HiddenLayer,hiddenlayer.com,AI Security,ML Model Security,United States,active
Lakera Guard,lakera.ai,AI Security,LLM Security,Switzerland,active
Robust Intelligence,robustintelligence.com,AI Security,AI Security Testing,United States,active
Momentic,momentic.ai,Testing,AI Testing Automation,United States,active
Traversal,traversal.io,Testing,AI Test Generation,United States,active
Resolve AI,resolve.ai,AI SRE,Incident Resolution AI,United States,active
Testomat,testomat.io,Testing,Test Management,Ukraine,active
Coroot,coroot.com,Observability,Continuous Performance Analysis,United States,active
CubeAPM,cubeapm.com,Observability,Application Performance Monitoring,India,active
GoReplay,goreplay.org,Testing,Traffic Replay,Global,active
Logfire,logfire.dev,Observability,Python Observability,United Kingdom,active
BetterStack,betterstack.com,Observability,Log Management & Uptime,Czech Republic,active
SchemaHero,schemahero.io,Database DevOps,Database Schema Management,United States,active
DragonflyDB,dragonflydb.io,Database,In-Memory Database,United States,active
DBVis,dbvis.com,Database,Database GUI Client,Sweden,active
Mokapi,mokapi.io,API Tools,API Mocking,Germany,active
API7.ai,api7.ai,API Tools,API Gateway,China,active
GraphQL Hive,the-guild.dev,GraphQL,GraphQL Schema Registry,Israel,active
Kontent.ai,kontent.ai,Headless CMS,Headless CMS,Czech Republic,active
NativeScript,nativescript.org,Mobile Dev,Cross-Platform Native Apps,Global,active
Ionic Framework,ionicframework.com,Mobile Dev,Cross-Platform Mobile,United States,active
Lynx Framework,lynxjs.org,Mobile Dev,Cross-Platform Mobile,China,active
Continue.dev,continue.dev,AI Coding,AI Code Completion,United States,active
Zencoder,zencoder.ai,AI Coding,AI Coding Assistant,United States,active
Future AGI,futureagi.com,AI Evaluation,AI Model Evaluation,United States,active
Factory AI,factory.ai,AI Coding,AI Software Engineering,United States,active
Predibase,predibase.com,MLOps,LLM Fine-Tuning Platform,United States,active
OpenPipe,openpipe.ai,MLOps,LLM Fine-Tuning,United States,active
Fal.ai,fal.ai,MLOps,AI Model Inference,United States,active
Runware AI,runware.ai,MLOps,Image Generation API,United States,active
Neptune.ai,neptune.ai,MLOps,ML Experiment Tracking,Poland,active
Fly.io,fly.io,Cloud PaaS,App Deployment Platform,United States,active
Akamai Cloud,linode.com,Cloud PaaS,Cloud Hosting,United States,active
DevZero,devzero.io,Dev Environments,Cloud Dev Environments,United States,active
Diploi,diploi.com,Dev Environments,Cloud Dev Environments,Sweden,active
Rocket.Chat,rocket.chat,Team Comms,Open-Source Team Chat,Brazil,active
Botpress,botpress.com,Conversational AI,Open-Source Bot Builder,Canada,active
BotKit,botkit.ai,Conversational AI,Bot Building Framework,United States,active
GetGalaxy,getgalaxy.com,Platform Engineering,Internal Developer Portal,United States,active
Josys,josys.com,Platform Engineering,SaaS Access Management,Japan,active
Proxyman,proxyman.io,Developer Tools,HTTP Debugger,Vietnam,active
FlagShark,flagshark.com,Feature Flags,Feature Flag Management,United States,active
Fumadocs,fumadocs.vercel.app,Developer Tools,Documentation Framework,Global,active
Vemetric,vemetric.com,Observability,Developer Analytics,Germany,active
Atmosly,atmosly.com,Platform Engineering,Internal Dev Platform,United States,active
Restack,restack.io,Platform Engineering,AI Engineering Platform,United States,active
Opsera,opsera.io,Platform Engineering,DevOps Orchestration,United States,active
UIBakery,uibakery.io,Low-Code,Internal Tool Builder,Ukraine,active
Fillout,fillout.com,Forms/Surveys,Form Builder,United States,active
Trigger.dev,trigger.dev,Workflow Automation,Background Jobs Platform,Ireland,active
NodeReal,nodereal.io,Web3/Blockchain,Blockchain Node Provider,Singapore,active
ChainGPT,chaingpt.org,Web3/Blockchain,AI for Blockchain,United States,active
Edgegap,edgegap.com,Game Backend,Game Server Hosting,Canada,active
AccelByte,accelbyte.io,Game Backend,Game Backend Services,United States,active
Hathora,hathora.dev,Game Backend,Game Server Hosting,United States,active
Golioth,golioth.io,IoT,IoT Device Management,United States,active
Blues Wireless,blues.com,IoT,IoT Connectivity,United States,active
PayMongo,paymongo.com,Payments,Payment Gateway,Philippines,active
Xendit,xendit.co,Payments,Payment Infrastructure,Indonesia,active
Listmonk,listmonk.app,Email,Self-Hosted Email Newsletter,India,active
Postal,postal.codes,Email,Self-Hosted Email Server,United Kingdom,active
Unsend,unsend.dev,Email,Open-Source Email Platform,India,active
Huly,huly.io,Project Management,All-in-One Project Tool,United States,active
Focalboard,focalboard.com,Project Management,Open-Source Project Board,United States,active
Leantime,leantime.io,Project Management,Open-Source PM Tool,United States,active
Taiga,taiga.io,Project Management,Open-Source Agile PM,Spain,active
OpenProject,openproject.org,Project Management,Open-Source PM Platform,Germany,active
Kaneo,kaneo.app,Project Management,Open-Source Project Management,Global,active
Split.io,split.io,Feature Flags,Feature Management Platform,United States,active
Formstack,formstack.com,Forms/Surveys,Form Builder,United States,active
Lenses.io,lenses.io,Workflow Automation,Data Streaming Management,United Kingdom,active
Conduktor,conduktor.io,Observability,Kafka Management Platform,France,active
StreamNative,streamnative.io,Cloud PaaS,Managed Apache Pulsar/Kafka,United States,active
WasmEdge,wasmedge.org,Developer Tools,WebAssembly Runtime,Global,active
Cosmonic,cosmonic.com,Cloud PaaS,WebAssembly PaaS,United States,active
Arize,arize.com,AI Evaluation,ML/LLM Observability,United States,active
PromptLayer,promptlayer.com,AI Evaluation,LLM Prompt Management,United States,active
Commerce Layer,commercelayer.io,Headless CMS,Headless Commerce API,Italy,active
Nacelle,nacelle.com,Headless CMS,Headless Commerce Platform,United States,active
Browserbase,browserbase.com,Developer Tools,Cloud Browser Infrastructure,United States,active
Skyvern,skyvern.com,Workflow Automation,AI Browser Automation,United States,active
Chainnodes,chainnodes.org,Web3/Blockchain,Blockchain Node Provider,Global,active
Bump.sh,bump.sh,API Tools,API Documentation Platform,France,active
Fathom,usefathom.com,Developer Tools,Privacy-First Analytics,Canada,active
Flightcontrol,flightcontrol.dev,Cloud PaaS,AWS Deployment Platform,United States,active
Gimlet,gimlet.io,Platform Engineering,GitOps Platform,Hungary,active
Unified.to,unified.to,API Tools,Unified API Integration,Canada,active
Hystax,hystax.com,FinOps,Cloud Cost Optimization,United States,active
Torii,toriihq.com,Platform Engineering,SaaS Management Platform,Israel,active
Substly,substly.com,Platform Engineering,SaaS Subscription Management,Sweden,active
BetterCloud,bettercloud.com,Platform Engineering,SaaS Operations Management,United States,active
Augmentt,augmentt.com,Security,SaaS Security for MSPs,Canada,active
Zylo,zylo.com,Platform Engineering,Enterprise SaaS Management,United States,active
ZeroTier,zerotier.com,Developer Tools,Software-Defined Networking,United States,active
Headscale,headscale.net,Developer Tools,Self-Hosted Tailscale Server,Global,active
Hex,hex.tech,Data Observability,Collaborative Data Notebooks,United States,active
Marimo,marimo.io,Developer Tools,Reactive Python Notebooks,United States,active
Bito,bito.ai,AI Coding,AI Code Review Agent,United States,active
Reviewpad,reviewpad.com,Developer Tools,PR Workflow Automation,Portugal,active
Osano,osano.com,Developer Tools,Data Privacy Management,United States,active
Termly,termly.io,Developer Tools,Privacy Policy & Compliance,United States,active
Cookiebot,cookiebot.com,Developer Tools,Cookie Consent Management,Denmark,active
Mage.ai,mage.ai,Workflow Automation,Data Pipeline Orchestration,United States,active
Tugboat,tugboatlogic.com,Security,Compliance Automation,United States,active
Escape,escape.tech,Security,API Security Testing,United States,active
Traceable,traceable.ai,Security,API Security Platform,United States,active
Salto,salto.io,Platform Engineering,Business App Configuration,Israel,active
Nuclino,nuclino.com,Developer Tools,Team Knowledge Base,Germany,active
Facets.cloud,facets.cloud,Platform Engineering,DevOps Cloud Platform,India,active
Productiv,productiv.com,Developer Tools,SaaS Management,United States,active
Blissfully,blissfully.com,Developer Tools,SaaS Management,United States,acquired
OpenBao,openbao.org,Security,Secret Management,United States,active
Skeema,skeema.io,Developer Tools,Database Schema Migration,United States,active
Aptakube,aptakube.com,Platform Engineering,Kubernetes Management,Germany,active
Cyclops,cyclops-ui.com,Platform Engineering,Kubernetes Management,Croatia,active
Fal,fal.ai,AI/ML,AI Model Serving,United States,active
Seldon,seldon.io,AI/ML,ML Model Deployment,United Kingdom,active
Crusoe,crusoe.ai,AI/ML,AI Infrastructure,United States,active
Giskard,giskard.ai,AI/ML,AI Testing & Quality,France,active
Elementary,elementary-data.com,Data,Data Observability,Israel,active
re_data,getre.io,Data,Data Quality,Poland,active
Lingo.dev,lingo.dev,Developer Tools,AI Localization,United States,active
MetaGPT,deepwisdom.ai,AI/ML,AI Agent Framework,China,active
Saner,secpod.com,Security,CNAPP,India,active
Zafran,zafran.io,Security,Risk Prioritization,United States,active
Imperva,imperva.com,Security,Application Security,United States,active
PingCAP,pingcap.com,Data,Distributed SQL Database,China,active
SequoiaDB,sequoiadb.com,Data,Distributed Database,China,active
Backblaze,backblaze.com,Cloud,Cloud Object Storage,United States,active
Momento,gomomento.com,Data,Serverless Cache,United States,active
Vald,vald.vdaas.org,AI/ML,Distributed Vector Search,Japan,active
Orchest,orchest.io,Data,Data Pipeline Orchestration,Netherlands,active
SeaLights,sealights.io,Developer Tools,Test Optimization,Israel,acquired
Cycle,cycle.app,Developer Tools,Product Management,France,active
Schemachange,schemachange.io,Data,Database Migration,United States,active
API7,api7.ai,API Management,API Gateway,China,active
Apptio,apptio.com,Cloud,IT Financial Management,United States,acquired
AppMetrica,appmetrica.com,Developer Tools,Mobile Analytics,Russia,active
APIToolkit,apitoolkit.io,API Management,API Observability,Nigeria,active
IriusRisk,iriusrisk.com,Security,Threat Modeling,Spain,active
ThreatModeler,threatmodeler.com,Security,Threat Modeling,United States,active
Rainforest QA,rainforestqa.com,Developer Tools,AI Test Automation,United States,active
Qodex,qodex.ai,API Management,API Documentation,India,active
incident.io,incident.io,DevOps,Incident Management,United Kingdom,active
Zenduty,zenduty.com,DevOps,Incident Management,India,active
Sleuth,sleuth.io,Developer Tools,Engineering Metrics,United States,active
Firezone,firezone.dev,Security,Zero Trust Access,United States,active
Twingate,twingate.com,Security,Zero Trust Network Access,United States,active
OpenZiti,openziti.io,Security,Zero Trust Networking,United States,active
Octelium,octelium.com,Security,Zero Trust Platform,United States,active
Lamini,lamini.ai,AI/ML,LLM Fine-Tuning,United States,active
E2B,e2b.dev,AI/ML,AI Agent Sandbox,United States,active
Letta,letta.com,AI/ML,AI Agent Memory,United States,active
Mem0,mem0.ai,AI/ML,AI Memory Layer,United States,active
SkyPilot,skypilot.co,AI/ML,Cloud AI Infrastructure,United States,active
liblab,liblab.com,Developer Tools,SDK Generation,United States,active
Fyno,fyno.io,Developer Tools,Notification Infrastructure,India,active
Hypertest,hypertest.co,Developer Tools,Contract Testing,India,active
