01-ai | 01.AI | AI API / SDK for Developers | usage | free tier | high lock-in
admost | Admost | Ad Monetization / Mediation | freemium | free tier | low lock-in
adobe-firefly | Adobe Firefly | AI API / SDK for Developers | freemium | free tier | low lock-in
adobe-firefly-api | Adobe Firefly API | AI API / SDK for Developers | usage | free tier | low lock-in
adobe-pdf-services | Adobe PDF Services | Object Storage / Media API | usage | free tier | medium lock-in
adobe-xd | Adobe XD | Design Tools / Design-to-Code | subscription | no free tier | low lock-in
adonisjs | AdonisJS | Backend-as-a-Service | free | free tier | high lock-in
adoptium | Adoptium | CI/CD for Applications | free | free tier | high lock-in
adpushup | AdPushup | Code Assistants / Agent Tooling | subscription, $2.1 | free tier | low lock-in
adrenaline | Adrenaline | Code Assistants / Agent Tooling | freemium | free tier | high lock-in
adscend-media | Adscend Media | Ad Monetization / Mediation | usage | free tier | low lock-in
advance-intelligence | Advance Intelligence | AI API / SDK for Developers | custom | no free tier | low lock-in
adversa-ai | Adversa AI | AI API / SDK for Developers | custom | no free tier | medium lock-in
adyen | Adyen | Payment Gateway / PSP | hybrid, EUR 0.11 + scheme fee | no free tier | medium lock-in
aembit | Aembit | Secrets Management | custom | no free tier | low lock-in
affine | Affine | No-code / Low-code App Builders | freemium | free tier | high lock-in
affise-mmp | Affise MMP | Mobile Attribution / MMP | subscription, $75/month | free tier | low lock-in
africa-s-talking | Africa's Talking | Messaging API (Email / SMS / Voice) | usage | free tier | high lock-in
ag2 | AG2 | Code Assistants / Agent Tooling | free | free tier | high lock-in
age-encryption | Age Encryption | Security Scanning / Mobile App Sec | free | free tier | high lock-in
agenda | Agenda | Backend-as-a-Service | free | free tier | high lock-in
agenta | Agenta | AI API / SDK for Developers | unknown, $19/mo | no free tier | medium lock-in
agentbench | AgentBench | AI API / SDK for Developers | free | free tier | high lock-in
agentgpt | AgentGPT | AI API / SDK for Developers | freemium | free tier | high lock-in
agentmail | AgentMail | Messaging API (Email / SMS / Voice) | freemium | free tier | high lock-in
agentops | AgentOps | AI API / SDK for Developers | freemium | free tier | high lock-in
agentset | Agentset | AI API / SDK for Developers | freemium, $0.01 | free tier | low lock-in
agenttuning | AgentTuning | AI API / SDK for Developers | free | free tier | high lock-in
agentuity | Agentuity | Code Assistants / Agent Tooling | unknown, Free | no free tier | low lock-in
agentverse | AgentVerse | AI API / SDK for Developers | free | free tier | high lock-in
agilepoint | AgilePoint | No-code / Low-code App Builders | custom | no free tier | low lock-in
agility-cms | Agility CMS | No-code / Low-code App Builders | freemium | free tier | medium lock-in
agno | Agno | AI API / SDK for Developers | free | free tier | high lock-in
agora | Agora | Real-time / WebSocket Infrastructure | freemium | free tier | low lock-in
ahrefs | Ahrefs | Search / Recommendations API | subscription | no free tier | medium lock-in
ai-inside | AI inside | AI API / SDK for Developers | custom | no free tier | low lock-in
ai-sdk-anthropic | AI SDK (Anthropic) | AI API / SDK for Developers | free | free tier | high lock-in
ai-sdk-by-vercel | AI SDK by Vercel | AI API / SDK for Developers | free | free tier | high lock-in
ai21-labs | AI21 Labs | AI API / SDK for Developers | usage | free tier | low lock-in
aichat | AiChat | AI API / SDK for Developers | free | free tier | high lock-in
aidbox | Aidbox | Backend-as-a-Service | freemium | free tier | high lock-in
aide | Aide | Code Assistants / Agent Tooling | freemium | free tier | high lock-in
aider | Aider | AI API / SDK for Developers | freemium | free tier | high lock-in
aikido-security | Aikido Security | Content Moderation API | freemium, 800 | free tier | medium lock-in
aim | Aim | AI API / SDK for Developers | free | free tier | high lock-in
aiohttp | aiohttp | Backend-as-a-Service | free | free tier | high lock-in
aiprise | AiPrise | KYC / KYB / AML API | custom | no free tier | low lock-in
air | Air | CI/CD for Applications | free | free tier | high lock-in
airbrake | Airbrake | Crash Reporting | freemium, $59/month | free tier | medium lock-in
airbridge | Airbridge | Mobile Attribution / MMP | subscription, $199/month | free tier | low lock-in
airbyte | Airbyte | Compliance Automation | subscription, $10 / month | free tier | high lock-in
airnow | Airnow | App Growth Tooling (ASO) | custom | no free tier | low lock-in
airpinpoint | AirPinpoint | Maps / Geolocation / Routing | subscription, $11.99 | free tier | medium lock-in
airplane | Airplane | Data Integration / ETL / Reverse ETL | freemium | free tier | medium lock-in
airplane-dev | Airplane Dev | No-code / Low-code App Builders | freemium | free tier | medium lock-in
airship | Airship | Push / In-app Messaging SDK | subscription, $9 | no free tier | low lock-in
airtable | Airtable | DBaaS / Serverless Databases | freemium | free tier | medium lock-in
airwallex | Airwallex | Payment Gateway / PSP | usage | no free tier | low lock-in
aisensy | AiSensy | Messaging API (Email / SMS / Voice) | subscription | free tier | medium lock-in
aiva | Aiva | AI API / SDK for Developers | freemium | free tier | medium lock-in
aiven | Aiven | DBaaS / Serverless Databases | freemium, $300 | free tier | high lock-in
aiven-kafka | Aiven Kafka | Real-time / WebSocket Infrastructure | usage | free tier | high lock-in
akamai | Akamai | CDN / Edge / Acceleration | unknown, Custom (premium pricing) | no free tier | high lock-in
akamai-app-api-protector | Akamai App & API Protector | Security Scanning / Mobile App Sec | custom | no free tier | low lock-in
akamai-guardicore | Akamai Guardicore | Security Scanning / Mobile App Sec | custom | no free tier | low lock-in
akana | Akana | Developer Portals / API Management | custom | no free tier | low lock-in
akeyless | Akeyless | Secrets Management | subscription | no free tier | medium lock-in
akka | Akka | Backend-as-a-Service | freemium | free tier | medium lock-in
akto | Akto | Security Scanning / Mobile App Sec | freemium | free tier | high lock-in
akurateco | Akurateco | Payments Orchestration | subscription | no free tier | low lock-in
alacritty | Alacritty | CDN / Edge / Acceleration | free | free tier | high lock-in
alation | Alation | Data Integration / ETL / Reverse ETL | custom | no free tier | low lock-in
albato | Albato | No-code / Low-code App Builders | subscription | free tier | medium lock-in
alchemy | Alchemy | Developer Portals / API Management | freemium | free tier | high lock-in
alchemy-pay | Alchemy Pay | Payment Gateway / PSP | usage | no free tier | medium lock-in
alembic | Alembic | Data Integration / ETL / Reverse ETL | free | free tier | high lock-in
aleph-alpha | Aleph Alpha | AI API / SDK for Developers | usage | no free tier | low lock-in
alertops | AlertOps | Observability / Logging / Tracing | subscription | free tier | medium lock-in
alessa | Alessa | KYC / KYB / AML API | custom | no free tier | low lock-in
alfred-app | Alfred | No-code / Low-code App Builders | freemium | free tier | medium lock-in
algolia | Algolia | Search / Recommendations API | hybrid, $0.50/1K searches (Grow) | free tier | medium lock-in
algolia-docsearch | Algolia DocSearch | Developer Documentation / DevRel | free | free tier | high lock-in
alguna | Alguna | Subscription Billing | usage, $0 | free tier | medium lock-in
alibaba-cloud | Alibaba Cloud | CDN / Edge / Acceleration | usage | free tier | low lock-in
alibaba-container-registry | Alibaba Container Registry | CDN / Edge / Acceleration | usage | free tier | high lock-in
alibaba-emas | Alibaba EMAS | Crash Reporting | freemium | free tier | low lock-in
alibaba-qwen | Alibaba Qwen | AI API / SDK for Developers | freemium | free tier | high lock-in
alibi | Alibi | AI API / SDK for Developers | free | free tier | high lock-in
alienvault-otx | AlienVault OTX | Security Scanning / Mobile App Sec | free | free tier | high lock-in
allennlp | AllenNLP | AI API / SDK for Developers | free | free tier | high lock-in
alloy | Alloy | Fraud & Risk Management | unknown, $5 | no free tier | low lock-in
alloy-agent | Alloy Agent | Performance Monitoring / APM | free | free tier | high lock-in
alloy-automation | Alloy Automation | Data Integration / ETL / Reverse ETL | custom | no free tier | low lock-in
alloydb | AlloyDB | DBaaS / Serverless Databases | usage | free tier | medium lock-in
allquiet | AllQuiet | Observability / Logging / Tracing | freemium | free tier | medium lock-in
allstacks | Allstacks | Observability / Logging / Tracing | custom | no free tier | low lock-in
allstay | Allstay | Search / Recommendations API | custom | no free tier | low lock-in
allura | Allura | CI/CD for Applications | free | free tier | high lock-in
allure-report | Allure Report | Code Assistants / Agent Tooling | free | free tier | high lock-in
allure-testops | Allure TestOps | Test Automation / Device Cloud | subscription | no free tier | medium lock-in
alluxio | Alluxio | Real-time / WebSocket Infrastructure | freemium | free tier | high lock-in
alphafold-server | AlphaFold Server (DeepMind/EMBL-EBI) | AI API / SDK for Developers | free | free tier | high lock-in
altair | Altair | Product Analytics | free | free tier | high lock-in
altair-graphql | Altair GraphQL | Developer Portals / API Management | freemium | free tier | high lock-in
alter | Alter | Security Scanning / Mobile App Sec | custom | no free tier | low lock-in
alteryx | Alteryx | Data Integration / ETL / Reverse ETL | subscription | no free tier | low lock-in
alwaysdata | Alwaysdata | CDN / Edge / Acceleration | freemium | free tier | high lock-in
amazon-cloudfront | Amazon CloudFront | CDN / Edge / Acceleration | freemium, $0/month | free tier | medium lock-in
amazon-dynamodb | Amazon DynamoDB | DBaaS / Serverless Databases | subscription, $0.02 | free tier | low lock-in
amazon-q-developer | Amazon Q Developer | AI API / SDK for Developers | seat, $3 per user | free tier | medium lock-in
amazon-rekognition | Amazon Rekognition | Localization / Translation API | subscription, $200 | free tier | medium lock-in
amazon-s3 | Amazon S3 | Object Storage / Media API | subscription, $5.87 per month | free tier | medium lock-in
amazon-sagemaker | Amazon SageMaker | AI API / SDK for Developers | usage | free tier | low lock-in
amazon-sagemaker-feature-store | Amazon SageMaker Feature Store | AI API / SDK for Developers | usage | free tier | low lock-in
amazon-ses | Amazon SES | Messaging API (Email / SMS / Voice) | freemium, $50 per month | free tier | high lock-in
amazon-translate | Amazon Translate | CRM / Lifecycle Automation | freemium, $0.02 | free tier | high lock-in
ambassador | Ambassador | Developer Portals / API Management | freemium | free tier | high lock-in
ambassador-labs | Ambassador Labs | CDN / Edge / Acceleration | freemium | free tier | high lock-in
amberflo | Amberflo | Subscription Billing | subscription | free tier | medium lock-in
amethyst | Amethyst | No-code / Low-code App Builders | free | free tier | high lock-in
amity-social-cloud | Amity Social Cloud | Content Moderation API | freemium | free tier | low lock-in
aml-watcher | AML Watcher | KYC / KYB / AML API | custom | no free tier | low lock-in
amlbot | AMLBot | KYC / KYB / AML API | usage | no free tier | high lock-in
amperity | Amperity | Product Analytics | custom | no free tier | low lock-in
ampersand | Ampersand | Data Integration / ETL / Reverse ETL | unknown | no free tier | medium lock-in
amplication | Amplication | Code Assistants / Agent Tooling | freemium | free tier | high lock-in
amplitude | Amplitude | Product Analytics | freemium, $61/mo (Plus) | free tier | medium lock-in
ampt | Ampt | Backend-as-a-Service | freemium | free tier | low lock-in
amundsen | Amundsen | Data Integration / ETL / Reverse ETL | free | free tier | high lock-in
analog | Analog | Backend-as-a-Service | free | free tier | high lock-in
anchor-browser | Anchor Browser | AI API / SDK for Developers | usage | free tier | low lock-in
anchor-framework | Anchor Framework | Backend-as-a-Service | free | no free tier | high lock-in
anchore | Anchore | Security Scanning / Mobile App Sec | freemium | free tier | high lock-in
andi-search | Andi Search | AI API / SDK for Developers | usage | free tier | high lock-in
anecdotes | Anecdotes | Compliance Automation | custom | no free tier | low lock-in
anima | Anima | No-code / Low-code App Builders | freemium | free tier | medium lock-in
anime-js | Anime.js | No-code / Low-code App Builders | free | free tier | low lock-in
ankr | Ankr | Developer Portals / API Management | freemium | free tier | medium lock-in
anomalo | Anomalo | Data Integration / ETL / Reverse ETL | custom | no free tier | medium lock-in
anonos | Anonos | DBaaS / Serverless Databases | custom | no free tier | high lock-in
anrok | Anrok | Invoicing / Taxes / Sales Tax | subscription, $20 | no free tier | medium lock-in
ansible | Ansible | CDN / Edge / Acceleration | freemium | free tier | low lock-in
ansible-vault | Ansible Vault | Secrets Management | free | free tier | low lock-in
ant-design | Ant Design | No-code / Low-code App Builders | free | free tier | low lock-in
ant-media-server | Ant Media Server | Object Storage / Media API | freemium | free tier | low lock-in
anteon | Anteon | Observability / Logging / Tracing | subscription, $0.25 | free tier | medium lock-in
anthos | Anthos | CDN / Edge / Acceleration | subscription | no free tier | high lock-in
anthropic | Anthropic | Developer Portals / API Management | hybrid, $20/mo (Pro), API $3/$15 per 1M tokens (Sonnet) | free tier | low lock-in
anthropic-mcp | Anthropic MCP | Developer Portals / API Management | free | free tier | low lock-in
antimetal | Antimetal | CDN / Edge / Acceleration | subscription | free tier | medium lock-in
antora | Antora | Developer Portals / API Management | free | free tier | low lock-in
antrea | Antrea | CDN / Edge / Acceleration | free | free tier | low lock-in
antworks | AntWorks | Data Integration / ETL / Reverse ETL | custom | no free tier | high lock-in
anura | Anura | Mobile Attribution / MMP | custom | no free tier | medium lock-in
anvil | Anvil | Object Storage / Media API | freemium | free tier | medium lock-in
anyio | AnyIO | Backend-as-a-Service | free | free tier | low lock-in
anyline | Anyline | AI API / SDK for Developers | custom | no free tier | high lock-in
anymail-finder | Anymail Finder | Messaging API (Email / SMS / Voice) | subscription | free tier | low lock-in
anyscale | Anyscale | AI API / SDK for Developers | usage | free tier | medium lock-in
anysphere | Anysphere | Code Assistants / Agent Tooling | freemium | free tier | medium lock-in
anythingllm | AnythingLLM | AI API / SDK for Developers | free | free tier | low lock-in
apache-airflow | Apache Airflow | Data Integration / ETL / Reverse ETL | free | free tier | low lock-in
apache-apisix | Apache APISIX | Data Integration / ETL / Reverse ETL | freemium | free tier | low lock-in
apache-arrow | Apache Arrow | Data Integration / ETL / Reverse ETL | free | free tier | low lock-in
apache-arthas | Apache Arthas | Observability / Logging / Tracing | free | free tier | low lock-in
apache-beam | Apache Beam | Data Integration / ETL / Reverse ETL | free | free tier | low lock-in
apache-brpc | Apache bRPC | Developer Portals / API Management | free | free tier | low lock-in
apache-dolphinscheduler | Apache DolphinScheduler | Data Integration / ETL / Reverse ETL | free | free tier | low lock-in
apache-doris | Apache Doris | DBaaS / Serverless Databases | free | free tier | low lock-in
apache-dubbo | Apache Dubbo | Developer Portals / API Management | free | free tier | low lock-in
apache-eventmesh | Apache EventMesh | Real-time / WebSocket Infrastructure | free | free tier | low lock-in
apache-flink | Apache Flink | Data Integration / ETL / Reverse ETL | free | free tier | low lock-in
apache-iceberg | Apache Iceberg | Data Integration / ETL / Reverse ETL | free | free tier | low lock-in
apache-inlong | Apache InLong | Data Integration / ETL / Reverse ETL | free | free tier | low lock-in
apache-iotdb | Apache IoTDB | DBaaS / Serverless Databases | free | free tier | low lock-in
apache-jmeter | Apache JMeter | Test Automation / Device Cloud | free | free tier | low lock-in
apache-kafka | Apache Kafka | Data Integration / ETL / Reverse ETL | free | free tier | low lock-in
apache-kafka-conduktor | Apache Kafka (Conduktor) | Real-time / WebSocket Infrastructure | freemium | free tier | medium lock-in
apache-kylin | Apache Kylin | DBaaS / Serverless Databases | free | free tier | low lock-in
apache-linkis | Apache Linkis | Data Integration / ETL / Reverse ETL | free | free tier | low lock-in
apache-nifi | Apache NiFi | Compliance Automation | unknown | no free tier | low lock-in
apache-pulsar | Apache Pulsar | Real-time / WebSocket Infrastructure | free | free tier | low lock-in
apache-rocketmq | Apache RocketMQ | Real-time / WebSocket Infrastructure | free | free tier | low lock-in
apache-seata | Apache Seata | Developer Portals / API Management | free | free tier | low lock-in
apache-seatunnel | Apache SeaTunnel | Data Integration / ETL / Reverse ETL | free | free tier | low lock-in
apache-shardingsphere | Apache ShardingSphere | DBaaS / Serverless Databases | free | free tier | low lock-in
apache-skywalking | Apache SkyWalking | Performance Monitoring / APM | seat | no free tier | low lock-in
apache-spark | Apache Spark | Data Integration / ETL / Reverse ETL | free | free tier | low lock-in
apache-spark-mllib | Apache Spark MLlib | AI API / SDK for Developers | free | free tier | low lock-in
apache-superset | Apache Superset | Data Integration / ETL / Reverse ETL | free | free tier | low lock-in
apaleo | apaleo | Developer Portals / API Management | subscription | no free tier | low lock-in
aperturedb | ApertureDB | AI API / SDK for Developers | freemium | free tier | medium lock-in
apexx-global | APEXX Global | Payments Orchestration | custom | no free tier | medium lock-in
aphrodite-engine | Aphrodite Engine | AI API / SDK for Developers | free | free tier | low lock-in
api-dash | API Dash | Developer Documentation / DevRel | free | free tier | low lock-in
api-video | api.video | Object Storage / Media API | subscription, $12 /month | free tier | medium lock-in
api7-ai | API7.ai | Data Integration / ETL / Reverse ETL | subscription, $250/month | free tier | low lock-in
apiary | Apiary | Developer Portals / API Management | freemium | free tier | medium lock-in
apiblueprint | API Blueprint | Developer Documentation / DevRel | free | free tier | low lock-in
apica | Apica Ascent | Observability / Logging / Tracing | custom | no free tier | medium lock-in
apideck | Apideck | Developer Portals / API Management | subscription | free tier | medium lock-in
apidog | Apidog | Developer Portals / API Management | freemium, $672/YEAR | free tier | medium lock-in
apiflash | APIFlash | Developer Portals / API Management | freemium | free tier | low lock-in
apiflask | APIFlask | Backend-as-a-Service | free | free tier | low lock-in
apifox | Apifox | Developer Portals / API Management | freemium | free tier | medium lock-in
apify | Apify | Data Integration / ETL / Reverse ETL | freemium, $1 | free tier | medium lock-in
apigee | Apigee | Data Integration / ETL / Reverse ETL | freemium, $365 per month | free tier | high lock-in
apiiro | Apiiro | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
apiman | Apiman | Developer Portals / API Management | free | free tier | low lock-in
apimatic | Apimatic | Developer Portals / API Management | freemium | free tier | medium lock-in
apimatic-generation | APIMatic (generation) | Developer Portals / API Management | freemium | free tier | medium lock-in
apimetrics | APImetrics | Developer Portals / API Management | subscription | free tier | medium lock-in
apipost | Apipost | Developer Portals / API Management | freemium | free tier | medium lock-in
apis-guru | APIs.guru | Developer Portals / API Management | free | free tier | low lock-in
apisec | APIsec | Security Scanning / Mobile App Sec | custom | no free tier | medium lock-in
apitable | Apitable | DBaaS / Serverless Databases | freemium | free tier | low lock-in
apitemplate-io | APITemplate.io | Object Storage / Media API | freemium | free tier | low lock-in
apito | Apito | No-code / Low-code App Builders | freemium | free tier | medium lock-in
apitoolkit | APItoolkit | Developer Documentation / DevRel | freemium | free tier | medium lock-in
apko | apko | Security Scanning / Mobile App Sec | free | free tier | low lock-in
apollo-graphql | Apollo GraphQL | Developer Portals / API Management | freemium | free tier | medium lock-in
aporia | Aporia | AI API / SDK for Developers | custom | no free tier | medium lock-in
app-radar | App Radar | In-app Purchase Optimization | subscription | free tier | medium lock-in
app-ray | App-Ray | Content Moderation API | unknown | free tier | medium lock-in
appagent | AppAgent | App Growth Tooling (ASO) | free | free tier | low lock-in
appalize | Appalize | App Growth Tooling (ASO) | freemium | free tier | medium lock-in
appcensus | AppCensus | Mobile Attribution / MMP | custom | no free tier | medium lock-in
appcharge | Appcharge | In-app Purchase Optimization | custom | no free tier | high lock-in
appcircle | Appcircle | A/B Testing / Experimentation | subscription, $1 | free tier | medium lock-in
appcopilot | AppCopilot | App Growth Tooling (ASO) | freemium | free tier | medium lock-in
appcues | Appcues | Product Analytics | freemium, Contact sales | no free tier | low lock-in
appdome | Appdome | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
appdrift | AppDrift | App Growth Tooling (ASO) | subscription, $9.99/mo | free tier | medium lock-in
appdynamics | AppDynamics | Observability / Logging / Tracing | subscription | no free tier | high lock-in
appen | Appen | AI API / SDK for Developers | custom | no free tier | medium lock-in
appetize | Appetize | Release / App Store Operations | freemium | free tier | low lock-in
appfigures | Appfigures | Product Analytics | subscription | free tier | low lock-in
appflow-ai | Appflow.ai | Ad Monetization / Mediation | seat | free tier | medium lock-in
appflowy | AppFlowy | No-code / Low-code App Builders | freemium | free tier | low lock-in
appfollow | AppFollow | In-app Purchase Optimization | subscription | no free tier | medium lock-in
appgate-sdp | Appgate SDP | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
appgrowing | AppGrowing | App Growth Tooling (ASO) | subscription | free tier | low lock-in
apphud | Apphud | Ad Monetization / Mediation | subscription, $0 / month | free tier | medium lock-in
appier | Appier | Product Analytics | custom | no free tier | high lock-in
appimage | AppImage | CI/CD for Applications | free | free tier | low lock-in
appium | Appium | Test Automation / Device Cloud | free | free tier | low lock-in
appknox | Appknox | Content Moderation API | subscription | no free tier | medium lock-in
applike-group | Applike Group | Ad Monetization / Mediation | custom | no free tier | high lock-in
applitools | Applitools | Test Automation / Device Cloud | subscription | no free tier | medium lock-in
applovin-max | AppLovin MAX | Code Assistants / Agent Tooling | subscription, $1 | no free tier | high lock-in
applozic | Applozic | Messaging API (Email / SMS / Voice) | freemium | free tier | medium lock-in
applyra | Applyra | App Growth Tooling (ASO) | freemium | free tier | medium lock-in
appmagic | AppMagic | App Growth Tooling (ASO) | freemium | free tier | low lock-in
appmetrica | AppMetrica | Mobile Attribution / MMP | free | free tier | medium lock-in
appmixer | Appmixer | No-code / Low-code App Builders | subscription | free tier | medium lock-in
appneta | AppNeta | Observability / Logging / Tracing | custom | no free tier | medium lock-in
appodeal | Appodeal | Code Assistants / Agent Tooling | subscription | no free tier | high lock-in
appointy | Appointy | Developer Portals / API Management | freemium | free tier | medium lock-in
appomni | AppOmni | Security Scanning / Mobile App Sec | custom | no free tier | medium lock-in
appranking | Appranking | App Growth Tooling (ASO) | freemium | free tier | medium lock-in
apprise | Apprise | Push / In-app Messaging SDK | free | free tier | low lock-in
appsamurai | AppSamurai | App Growth Tooling (ASO) | custom | no free tier | medium lock-in
appsec-santa | AppSec Santa | Security Scanning / Mobile App Sec | free | free tier | low lock-in
appsensor | AppSensor | Security Scanning / Mobile App Sec | free | free tier | low lock-in
appsflyer | AppsFlyer | Mobile Attribution / MMP | usage, $0.05-0.07/install (Growth) | free tier | medium lock-in
appsignal | AppSignal | Crash Reporting | subscription | free tier | medium lock-in
appsmith | Appsmith | No-code / Low-code App Builders | freemium | free tier | low lock-in
apptega | Apptega | Security Scanning / Mobile App Sec | custom | no free tier | medium lock-in
apptentive | Apptentive | Push / In-app Messaging SDK | custom | no free tier | medium lock-in
apptica | Apptica | App Growth Tooling (ASO) | freemium | free tier | low lock-in
apptimize | Apptimize | Release / App Store Operations | custom | no free tier | medium lock-in
apptio | Apptio | Observability / Logging / Tracing | custom | no free tier | medium lock-in
apptio-cloudability | Apptio Cloudability | CDN / Edge / Acceleration | custom | no free tier | medium lock-in
apptopia | Apptopia | Product Analytics | subscription | free tier | low lock-in
apptrove | Apptrove | Mobile Attribution / MMP | subscription | free tier | high lock-in
apptweak | AppTweak | In-app Purchase Optimization | seat | no free tier | low lock-in
appwrite | Appwrite | Backend-as-a-Service | hybrid, $25/mo/project (Pro) | free tier | low lock-in
appwrite-sites | Appwrite Sites | CDN / Edge / Acceleration | freemium | free tier | medium lock-in
apryse | Apryse | Object Storage / Media API | custom | no free tier | high lock-in
apryse-pdftron | Apryse (PDFTron) | Object Storage / Media API | custom | no free tier | high lock-in
apscheduler | APScheduler | CDN / Edge / Acceleration | free | free tier | low lock-in
aptabase | Aptabase | Product Analytics | freemium | free tier | low lock-in
aptible | Aptible | Compliance Automation | subscription | no free tier | medium lock-in
apxor | Apxor | Push / In-app Messaging SDK | custom | no free tier | medium lock-in
